epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
118,7654.18,0.40859,0.37249,0.91006,0.98029,0.95604,0.95333,0.90693,0.33356,0.3276,0.81081,0.000682043,0.000682043,0.000682043
119,7722.86,0.3761,0.33979,0.8993,0.97502,0.95569,0.95749,0.91099,0.34313,0.32775,0.8113,0.000678377,0.000678377,0.000678377
120,7783.41,0.41509,0.36678,0.91884,0.97463,0.95306,0.95657,0.91188,0.35018,0.33399,0.80985,0.00067471,0.00067471,0.00067471
121,7849.12,0.38748,0.34794,0.8951,0.97414,0.95261,0.95515,0.91036,0.32495,0.31675,0.80694,0.000671044,0.000671044,0.000671044
122,7914.16,0.38216,0.3405,0.90037,0.97376,0.95569,0.95283,0.90912,0.31274,0.2961,0.80147,0.000667378,0.000667378,0.000667378
123,7982.79,0.3726,0.33772,0.90625,0.97272,0.95569,0.95361,0.90318,0.32411,0.30344,0.81897,0.000663711,0.000663711,0.000663711
124,8046.13,0.39629,0.34899,0.91439,0.97983,0.95569,0.95142,0.90536,0.31665,0.28272,0.81087,0.000660045,0.000660045,0.000660045
125,8111.85,0.38325,0.34815,0.9065,0.97953,0.95569,0.95289,0.90454,0.32092,0.28086,0.81535,0.000656379,0.000656379,0.000656379
126,8176.41,0.37526,0.34255,0.90128,0.98099,0.95569,0.9481,0.90019,0.31528,0.2954,0.81844,0.000652712,0.000652712,0.000652712
127,8249.75,0.38265,0.34985,0.90402,0.98058,0.95569,0.95313,0.90668,0.34715,0.29523,0.81814,0.000649046,0.000649046,0.000649046
128,8311.63,0.40115,0.3564,0.91269,0.98088,0.95615,0.95504,0.90835,0.34674,0.28122,0.82404,0.00064538,0.00064538,0.00064538
129,8376.67,0.38887,0.34641,0.90565,0.97957,0.95632,0.95586,0.90419,0.3302,0.28602,0.81738,0.000641714,0.000641714,0.000641714
130,8435.92,0.40418,0.35069,0.91325,0.9777,0.95569,0.95491,0.91015,0.3256,0.28134,0.80738,0.000638047,0.000638047,0.000638047
131,8513.06,0.39926,0.34611,0.91112,0.98007,0.95569,0.95485,0.90669,0.31567,0.29143,0.81113,0.000634381,0.000634381,0.000634381
132,8572.01,0.39106,0.36554,0.90128,0.98008,0.95569,0.95439,0.90604,0.33234,0.29747,0.8128,0.000630715,0.000630715,0.000630715
133,8632.68,0.38813,0.3344,0.89752,0.97859,0.95569,0.95329,0.89647,0.33431,0.29228,0.81426,0.000627048,0.000627048,0.000627048
134,8707.1,0.38016,0.33887,0.90228,0.97897,0.95569,0.95091,0.90125,0.32844,0.29523,0.8193,0.000623382,0.000623382,0.000623382
135,8767.16,0.39145,0.34001,0.90821,0.97975,0.95569,0.95075,0.90673,0.31239,0.29898,0.81145,0.000619716,0.000619716,0.000619716
136,8831.72,0.38089,0.3467,0.8989,0.98114,0.95569,0.94986,0.90993,0.32402,0.29357,0.81461,0.000616049,0.000616049,0.000616049
137,8889.82,0.37755,0.33118,0.90344,0.98197,0.95569,0.95089,0.90303,0.34014,0.29856,0.81496,0.000612383,0.000612383,0.000612383
138,8951.2,0.38546,0.35134,0.90533,0.98115,0.95569,0.95103,0.90293,0.33058,0.29726,0.81584,0.000608717,0.000608717,0.000608717
139,9017.84,0.38838,0.34537,0.90619,0.97968,0.95569,0.94984,0.89772,0.33679,0.31234,0.80597,0.000605051,0.000605051,0.000605051
140,9080.29,0.36989,0.34434,0.90226,0.98153,0.95569,0.94776,0.90055,0.34298,0.2986,0.80885,0.000601384,0.000601384,0.000601384
141,9141.09,0.36944,0.32785,0.88222,0.97934,0.95569,0.9522,0.90499,0.32719,0.2768,0.81159,0.000597718,0.000597718,0.000597718
142,9203.77,0.36063,0.32815,0.89805,0.97958,0.95569,0.95175,0.90673,0.32588,0.30511,0.80665,0.000594052,0.000594052,0.000594052
